"персонаж собирает звезды на уровне","platformer"
"игрок избегает препятствий на скорости","platformer"
"создать 2d игру с платформами","platformer"
"герой проходит путь через опасности","platformer"
"есть уровни от легкого до сложного","platformer"
"игрок достигает финальной точки карты","platformer"
"создать приключенческий платформер","platformer"
"игрок сражается с врагами на арене","battle"
"герой атакует противников оружием","battle"
"создать игру про битвы и сражения","battle"
"персонаж побеждает монстров","battle"
"игрок управляет воином в бою","battle"
"нужно уничтожить всех врагов на уровне","battle"
"герой использует меч для атаки","battle"
"создать боевую игру с противниками","battle"
"персонаж защищается от волн врагов","battle"
"игра про сражения между героями","battle"
"есть боссы которых нужно победить","battle"
"игрок сражается с сильными противниками","battle"
"герой использует способности в бою","battle"
"создать игру с битвами и оружием","battle"
"персонаж атакует врагов на карте","battle"
"нужно победить всех соперников","battle"
"игра где главный герой воюет","battle"
"создать экшен игру с боями","battle"
"герой сражается против монстров","battle"
"игрок управляет бойцом","battle"
"есть разные виды оружия","battle"
"персонаж наносит урон врагам","battle"
"создать арену для сражений","battle"
"игрок проходит боевые уровни","battle"
"герой должен уничтожать противников","battle"
"битва с врагами в каждом раунде","battle"
"создать игру про воинов","battle"
"персонаж сражается с армией врагов","battle"
"игрок атакует и защищается","battle"
"есть враги и главный босс","battle"
"герой проходит испытания через бои","battle"
"игра основана на сражениях","battle"
"создать боевую систему для персонажа","battle"
"игрок выбирает оружие перед боем","battle"
"герой сражается на арене","battle"
"нужно победить противников чтобы пройти дальше","battle"
"есть враги которые нападают на героя","battle"
"персонаж защищает свою территорию","battle"
"игра про войну между персонажами","battle"
"создать игру с битвами один на один","battle"
"герой атакует монстров в подземелье","battle"
"игрок управляет рыцарем в бою","battle"
"есть магические атаки и враги","battle"
"персонаж сражается используя способности","battle"
"создать игру где нужно побеждать врагов","battle"
"игрок проходит боевые миссии","battle"
"герой уничтожает противников на пути","battle"
"битвы становятся сложнее с каждым уровнем","battle"
"есть разные противники и боссы","battle"
"создать экшен с врагами","battle"
"игрок дерется с противниками","battle"
"герой атакует врагов в реальном времени","battle"
"нужно очистить карту от врагов","battle"
"персонаж участвует в сражениях","battle"
"игра с боевой механикой","battle"
"создать игру про бойцов","battle"
"герой использует заклинания против врагов","battle"
"игрок сражается на разных аренах","battle"
"есть здоровье персонажа и врагов","battle"
"персонаж получает урон в бою","battle"
"создать игру с системой боя","battle"
"герой побеждает волну противников","battle"
"игрок сражается с существами","battle"
"есть враги которых нужно атаковать","battle"
"персонаж защищает базу от врагов","battle"
"создать защитную игру с боями","battle"
"игрок управляет героем в битве","battle"
"герой сражается против злодеев","battle"
"есть уровень с большим количеством врагов","battle"
"персонаж использует оружие для победы","battle"
"создать игру про сражения мечами","battle"
"игрок побеждает врагов ради награды","battle"
"герой сражается в турнире","battle"
"есть противники с разной силой","battle"
"создать боевой платформер с врагами","battle"
"игрок атакует монстров","battle"
"персонаж участвует в эпической битве","battle"
"есть финальный босс","battle"
"герой должен выжить среди врагов","battle"
"создать игру про выживание в бою","battle"
"игрок использует навыки против соперников","battle"
"персонаж сражается на поле боя","battle"
"есть система побед и поражений","battle"
"создать игру где нужно уничтожать врагов","battle"
"герой защищает мир от противников","battle"
"игрок сражается с армией монстров","battle"
"персонаж атакует врагов один за другим","battle"
"есть битвы между командами","battle"
"создать стратегию с боевыми элементами","battle"
"игрок управляет солдатом","battle"
"герой участвует в боях","battle"
"есть оружие броня и враги","battle"
"персонаж сражается ради победы","battle"
"создать динамичный боевой уровень","battle"
"игрок побеждает противников на карте","battle"
"герой атакует врагов в подземельях","battle"
"есть монстры которых нужно уничтожить","battle"
"создать игру с множеством сражений","battle"
"персонаж сражается с боссами","battle"
"игрок проходит уровни через победы в боях","battle"
"герой использует силу против врагов","battle"
"создать приключение с боевыми сценами","battle"
"игрок участвует в битве за территорию","battle"
